               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066978,            0.027609,            0.096017,            0.014652,             0.27028,            0.015202,            0.010128,            0.029261,            0.016926,            0.094194,           0.0033305,           0.0033305,            0.070026
                   1,            0.037596,            0.021952,            0.093627,            0.018866,             0.35635,            0.020142,            0.014177,            0.026642,            0.013245,            0.093307,           0.0066088,           0.0066088,            0.039971
                   2,            0.035572,             0.01893,            0.092596,            0.020745,             0.37376,            0.025182,            0.019062,            0.023915,            0.011637,            0.091404,           0.0098322,           0.0098322,           0.0098608
                   3,            0.030593,            0.017096,            0.090428,             0.03601,               0.344,             0.04788,            0.037992,            0.019599,            0.010247,            0.088131,           0.0097525,           0.0097525,           0.0097525
                   4,            0.027509,            0.015578,            0.086797,              0.0527,             0.47606,            0.087108,            0.069983,            0.018814,           0.0093402,            0.084522,           0.0097525,           0.0097525,           0.0097525
                   5,            0.026019,            0.014893,            0.083439,            0.079827,             0.52409,             0.13831,             0.11068,            0.019536,           0.0088686,            0.079961,             0.00967,             0.00967,             0.00967
                   6,            0.025179,            0.014211,            0.078325,             0.12543,             0.61151,             0.18895,             0.15369,            0.017542,            0.008446,            0.073693,           0.0095875,           0.0095875,           0.0095875
                   7,            0.025396,            0.013886,            0.071644,             0.37759,             0.54729,             0.28617,             0.23107,             0.01789,           0.0081069,            0.065936,            0.009505,            0.009505,            0.009505
                   8,            0.025859,            0.013593,            0.065007,             0.26958,             0.85048,             0.37406,             0.30737,            0.017489,           0.0078706,            0.057792,           0.0094225,           0.0094225,           0.0094225
                   9,            0.026163,            0.013356,            0.057251,             0.32652,             0.86302,             0.42633,             0.35502,            0.017778,           0.0078824,            0.050604,             0.00934,             0.00934,             0.00934
